inscricao;deferimento;renda_mensal
95928;1;925.0
95929;0;500.0
95930;1;366.6666666666667
95933;1;0.0
95937;0;0.0
95940;1;1133.3333333333333
95942;1;371.0
95946;1;538.5
95948;1;499.75
95949;0;318.0
95955;1;234.25
95961;1;366.6666666666667
95965;0;1500.0
95967;1;460.0
95970;1;477.0
95981;1;220.13
95982;1;389.875
95984;0;477.0
95988;1;400.0
95997;1;784.25
95999;1;237.5
96002;1;636.0
96006;0;482.95200000000006
96007;0;318.0
96009;0;1744.0614285714287
96012;1;950.0
96013;1;800.0
96015;1;477.0
96016;1;475.0
96017;0;352.0
96018;0;1125.0
96021;1;400.0
96029;0;85.0
96037;1;213.0
96038;1;363.5
96039;1;849.0
96049;1;375.0
96052;1;300.0
96059;1;917.3333333333334
96060;1;375.0
96064;1;701.3333333333334
96065;1;238.75
96068;0;500.0
96080;1;636.0
96086;1;883.9866666666667
96098;1;297.25
96099;1;300.0
96100;1;875.0
96114;1;363.5
96115;1;438.53599999999994
96120;1;550.0
96127;1;732.0
96135;1;592.5
96137;1;395.0
96139;0;933.3333333333334
96141;1;650.0
96143;0;1000.0
96148;1;238.5
96159;1;588.8133333333334
96171;1;830.0
96173;1;825.0
96174;1;700.0
96176;1;318.0
96187;0;300.0
96195;1;250.0
96237;1;300.0
96241;0;0.0
96243;1;794.0
96244;1;600.0
96245;1;214.0
96307;1;477.83
96309;1;900.0
96310;1;420.7266666666667
96311;0;860.3333333333334
96312;0;1702.2733333333333
96316;0;1200.0
96317;1;769.885
96318;1;238.5
96320;1;1000.0075
96321;0;283.02
96322;1;1250.0
96323;0;600.0
96324;1;546.81
96327;1;535.9
96328;1;450.0
96331;1;764.0
96332;1;547.825
96333;1;757.5
96334;1;670.404
96335;1;865.35
96336;0;238.5
96337;1;1178.865
96338;1;505.855
96339;1;995.0
96341;1;1230.71
96343;0;477.0
96344;0;449.72800000000007
96345;1;38.160000000000004
96347;1;1005.9933333333333
96348;0;750.0
96353;1;159.00666666666666
96354;1;556.6666666666666
96356;1;468.5
96358;1;638.6075000000001
96360;1;666.6666666666666
96361;1;600.0
