codigo;deferimento;renda_mensal
89253;s;
89253;s;3691
89568;s;
89568;s;
89568;s;
89568;s;
89568;s;954
89096;s;937
89096;s;
89526;s;937
89526;s;462
89526;s;462
89526;s;462
95900;n;
95922;n;
95922;n;
95922;n;
95922;n;880
95913;n;
95913;n;960
95913;n;
95906;s;
95906;s;
95906;s;1000
96009;n;7835.42
96009;n;
96009;n;
95900;n;5350.12
95900;n;
95900;n;2225.91
96009;n;
96009;n;
96009;n;4373.01
95847;s;
95847;s;
95847;s;1500
95847;s;954
88013;n;
88013;n;
88013;n;2900
89491;n;
89491;n;1534.59
96009;n;
88448;s;954
89189;s;
89189;s;
89189;s;1107.39
89189;s;
89189;s;1808
95780;n;
95780;n;240
95856;s;954
95856;s;600
95856;s;
89287;s;937
89287;s;1056
88695;s;937
88695;s;
88695;s;
88218;s;
88218;s;
88218;s;1516.8
95699;s;
95699;s;
95699;s;
95699;s;2419.39
95811;s;
95811;s;642.66
95811;s;
88641;s;
88641;s;
88641;s;600
88197;n;
88197;n;
88197;n;1084.57
95625;s;
90053;s;
90053;s;1200
90053;s;
89216;s;
89216;s;1149.15
89216;s;
89216;s;
95783;s;
95783;s;
95783;s;1500
95783;s;
95757;s;1698.12
95757;s;
95625;s;1200
95625;s;937
95625;s;
88090;s;
88090;s;2378
88090;s;
89244;s;
89244;s;
89818;s;954
89818;s;
89818;s;690
88041;s;
88041;s;1280
88041;s;171
95955;s;
95955;s;937
95955;s;
95955;s;
89244;s;
89244;s;1114
95757;s;
95757;s;
96187;n;
96187;n;600
89244;s;
89372;s;2222
89372;s;
89372;s;
89427;s;
89427;s;1512.3
89427;s;
89427;s;
89427;s;780
89427;s;
90117;s;0.01
90117;s;937
90117;s;2149.91
96120;s;550
89865;s;1180.73
89865;s;
89162;s;
89162;s;900
89162;s;3000
89162;s;
95810;s;1500
95810;s;
95810;s;
95810;s;
95707;s;
95707;s;
95707;s;1837
90321;s;
90321;s;
90321;s;1500
90321;s;
90321;s;
88434;s;1400
88434;s;
88002;s;1632.62
88002;s;
96038;s;
96038;s;
96038;s;937
96038;s;
96038;s;
96038;s;1244
88987;s;
88987;s;
88987;s;950
88002;s;1100
96114;s;
96114;s;
96114;s;937
96114;s;
96114;s;
96114;s;1244
89368;s;
89368;s;400
89368;s;
89368;s;5161.86
88803;s;
88803;s;
88803;s;900
88803;s;
88803;s;1000
88906;s;
88906;s;954
88906;s;616.66
88906;s;
88906;s;755.49
88906;s;
88906;s;300
88988;s;
88988;s;937
88988;s;1200
88655;s;200
88655;s;300
88655;s;
90175;s;
90175;s;
90175;s;1884.41
90175;s;
88069;s;937
88069;s;
88069;s;1008
88276;s;
88276;s;2200
88276;s;
88276;s;
88883;s;1000
88883;s;
88883;s;
88883;s;
89700;s;
89700;s;
89858;n;
95752;s;
95752;s;
95752;s;
95752;s;900
95791;s;
95791;s;1005
95791;s;
95791;s;
89700;s;
88071;n;
88071;n;
88071;n;900
88071;n;
89700;s;1075
88879;s;1233.34
89858;n;
89858;n;3000
88820;s;1890
88820;s;
88820;s;
88820;s;2100
88613;s;
88613;s;
88613;s;2547.14
88844;s;3800
88844;s;
88844;s;
88844;s;
88879;s;
88879;s;1020.28
88790;s;
88790;s;954
88790;s;2164
89338;s;518
89338;s;
88207;s;1636
88207;s;
90176;s;1080
90176;s;700
89338;s;1654
89338;s;
89338;s;
88755;s;
88846;s;2083
89394;s;600
88755;s;
88755;s;
88748;s;
88748;s;2000
88748;s;
90057;s;270
90057;s;1180.71
90057;s;1822.48
90057;s;270
88646;s;1918.84
88646;s;1284.35
88646;s;
88846;s;150
88646;s;
88141;s;1294.82
88141;s;
88141;s;2054.93
88448;s;1376.5
96728;s;175
88448;s;0.01
88448;s;100
88448;s;1600
88971;s;100
88971;s;1430
88229;s;
88229;s;
88229;s;5600
88229;s;
88229;s;
96137;s;250
96137;s;
96137;s;935
96029;n;85
88802;s;1216.8
88802;s;1065
88802;s;
88802;s;
95545;s;1000
95545;s;400
90362;s;
90362;s;954
90362;s;954
88715;s;954
88715;s;
88715;s;
88715;s;
89870;s;954
89870;s;1300
89870;s;
95545;s;
95545;s;
89870;s;
96195;s;
96195;s;
96195;s;
96195;s;1500
96195;s;
96195;s;
95654;s;479.02
95654;s;479.72
95654;s;719.58
88663;s;1282.6
88663;s;
88663;s;
88663;s;
95566;s;
95566;s;
95566;s;2500
95566;s;
88899;s;
88899;s;1652
90043;s;
90043;s;
90043;s;1655.08
90043;s;800
90188;s;1777.4
90188;s;
90188;s;
90188;s;1200
89939;s;1136.53
89939;s;1500
89939;s;
88899;s;
88899;s;
97391;s;1825
97391;s;
97391;s;2254.16
97391;s;
96338;s;
96338;s;
96338;s;877.68
96338;s;1145.74
97232;s;1036
97232;s;
96585;s;
96585;s;1700
96585;s;477
96585;s;
97232;s;
97232;s;
97084;s;
97084;s;
97084;s;
97084;s;2736
93732;s;880
93732;s;1300
93732;s;0.01
93732;s;0.01
97353;s;
97353;s;
97353;s;1393.01
96479;s;1100
96940;s;
96940;s;500
93732;s;0.01
96360;s;
96940;s;500
96940;s;
96580;s;1377
96580;s;350
96916;s;0.01
96916;s;1240
96916;s;1510.83
97335;s;2308
97335;s;
97874;n;3081.83
97874;n;
97874;n;
96360;s;500
96360;s;1500
97063;s;
97063;s;2000
97063;s;
97282;s;877.3
97282;s;
97874;n;
97063;s;
97320;s;897
97320;s;
97320;s;2615.6
97320;s;1204.12
97561;s;
97561;s;954
96744;s;600
96919;s;1436.01
96919;s;
97246;n;
97246;n;
97692;s;600
96427;s;
97623;s;
97623;s;5747.85
97623;s;
97623;s;
97623;s;954
97623;s;
97692;s;
97692;s;300
97609;s;1024.68
97609;s;
97609;s;1609.6
97609;s;
96427;s;1009.13
96427;s;
96427;s;
96773;s;400
96773;s;1065
96459;s;1439.32
96459;s;
96459;s;
96459;s;1236.76
97424;s;
97424;s;1700
97115;s;2390
97115;s;
97115;s;1284
97115;s;
96863;s;
96863;s;
96863;s;2829.71
96956;s;0.01
96956;s;1377.48
89502;s;
89502;s;
89502;s;150
89502;s;190.8
97627;s;
97627;s;715.5
97495;s;954
97624;s;
97624;s;5747.85
97624;s;
97624;s;
97624;s;954
97624;s;
90334;s;
90334;s;952
97627;s;1058
96831;s;800
96831;s;1300
96831;s;500
97495;s;954
97495;s;
96586;s;
96586;s;1330
96586;s;1349.1
96586;s;477
97467;s;
97467;s;
97467;s;950
97467;s;950
96970;s;954
97933;s;1437.65
97933;s;
97933;s;1248
96333;s;2100
96333;s;930
96380;s;1000
96380;s;
97437;s;
96970;s;335
96333;s;
96333;s;
96970;s;
96728;s;175
96728;s;400
96728;s;700
96592;s;954
96624;s;300
96624;s;1023
96727;s;2532.71
96727;s;
96727;s;
96727;s;120
97540;s;0.01
97540;s;0.01
97540;s;1022
97437;s;954
97437;s;
97515;s;
97254;s;
97254;s;4553.58
97254;s;
97254;s;
97254;s;
97547;s;
97540;s;1021.35
97332;s;
97332;s;954
97332;s;
97515;s;1200
97362;n;1787.76
97362;n;2503.63
97362;n;1337.06
97362;n;
97547;s;3000
97547;s;
97547;s;1000
97500;s;
97500;s;954
96354;s;
96354;s;
96354;s;3340
96354;s;
96354;s;
96354;s;
96488;s;1872
96488;s;
96488;s;
97001;s;
97001;s;
96836;s;
96836;s;1268
96836;s;3000
96836;s;
96836;s;
96896;s;
96896;s;650
96896;s;
97001;s;
97001;s;3545.37
97944;s;
97944;s;2437
97944;s;
97944;s;
95927;n;800
95927;n;
95927;n;
95927;n;400
97599;s;1067
97599;s;1200
96896;s;
97719;s;1130
97719;s;477
97719;s;
97719;s;
97366;s;
97366;s;
97366;s;
97293;s;
97293;s;
97293;s;1200.58
97293;s;
97293;s;
97787;s;
97787;s;
97787;s;
97787;s;3320
97787;s;1200
97366;s;
96848;s;1773.83
96848;s;
96848;s;
96848;s;1444.73
97124;n;
97124;n;1369.82
97124;n;
97142;s;
97142;s;
97142;s;3194.28
97142;s;
97602;s;1175.48
97602;s;959.84
97602;s;0.01
97602;s;0.01
97622;s;954
97622;s;954
97622;s;954
97622;s;954
97319;s;
97319;s;750
97319;s;750
97771;s;2954.63
97275;s;2703.53
97275;s;
97275;s;
97275;s;
98003;s;0.01
97701;s;1173.06
97701;s;
97108;s;
97108;s;
97108;s;
97108;s;1200
97108;s;
96706;n;
96706;n;1300
96706;n;
96706;n;
96706;n;1200
96802;s;
96802;s;954
97771;s;
97771;s;2300
96904;s;
96904;s;
97771;s;
97297;s;
97297;s;
97297;s;995.46
97297;s;
97016;s;
97016;s;
97016;s;1749.46
97016;s;
96701;s;1185
96701;s;
97414;s;
97414;s;
97414;s;3000
97414;s;950
97120;s;1500
97120;s;
97120;s;
97120;s;1520
97621;s;954
97621;s;
97621;s;
96904;s;1070
96904;s;1700
96442;s;
96442;s;1834
96887;s;954
97244;s;1063
97244;s;
97244;s;850
96442;s;
96442;s;
96522;n;1000
96522;n;1000
96522;n;450
96522;n;1542
97633;s;2064.84
97633;s;
97633;s;1044.5
97481;s;2039.58
97481;s;2000
97481;s;
97226;s;
97226;s;1269
97226;s;
96943;s;
96943;s;
96943;s;
96943;s;
97328;n;2979.38
97328;n;
96929;s;2056.67
96929;s;
96929;s;
96929;s;1100
97358;s;
97358;s;954
97358;s;
97412;s;2000
97412;s;600
97412;s;1166
97412;s;954
96937;s;1345.72
96937;s;1345.72
96937;s;1345.72
96794;s;
96794;s;
96794;s;2002
96472;s;1390
96472;s;
96793;s;
90236;n;
90236;n;
90236;n;1200
96347;s;250
96347;s;250
96347;s;2517.98
97523;s;200
97523;s;
96856;s;0.01
96856;s;700
96856;s;345.09
96793;s;1800.67
96793;s;
96793;s;
97697;s;500
97697;s;500
97697;s;
96833;s;
96833;s;
96833;s;
90211;s;
96833;s;3500
97528;s;
90211;s;2693.11
90211;s;
90211;s;
97528;s;
97528;s;
97528;s;1056.61
97745;s;0.01
97745;s;1500
97745;s;954
97745;s;1500
97564;s;
97564;s;2145
97564;s;
97564;s;1252
97064;s;
97064;s;
97064;s;954
97658;s;2335
97658;s;
97658;s;
97658;s;1138
97588;s;
96592;s;0.01
96592;s;0.01
96592;s;600
97464;s;3070.2
97464;s;0.01
96060;s;
96060;s;1500
96060;s;
96060;s;
97444;s;954
97444;s;1697.67
97444;s;
97444;s;
96923;s;1264.01
96923;s;477
96923;s;850
96485;s;
96485;s;
96485;s;
96485;s;1031.81
96485;s;959.87
97464;s;0.01
96383;s;
96383;s;468.5
96383;s;200
96383;s;1178.33
96383;s;690
96571;s;3644.15
96571;s;
96571;s;
97855;s;
96923;s;979.8
97522;s;0.01
97522;s;0.01
97522;s;2355.28
97522;s;0.01
96906;s;894
96906;s;481.81
97855;s;2757.14
97855;s;
97249;s;
97249;s;
97249;s;4078.46
97249;s;
96639;s;
96639;s;
96639;s;2002
96770;s;100
96770;s;1000
96979;s;
96979;s;1000
96979;s;
96702;s;0.01
96702;s;0.01
96702;s;0.01
96702;s;0.01
96702;s;3853.75
97009;s;400
97674;s;
97674;s;1031.81
97674;s;1000
96413;s;2826
96413;s;
96413;s;
97848;s;
97848;s;
97848;s;
97848;s;
97848;s;1050
97848;s;
97323;s;0.01
97323;s;800
